PaperlessBilling,StreamingTV,PaymentMethod,gender,OnlineBackup,TotalCharges,SeniorCitizen,PhoneService,Contract,Dependents,tenure,InternetService,ChargeRatio,OnlineSecurity,TechSupport,StreamingMovies,Partner,DeviceProtection,MultipleLines,MonthlyCharges,customerID,InternetSeniorContract,Churn,Pred_Churn,Pred_Churn_Prod
True,True,Electronic check,Female,False,263.05,1,No,Month-to-month,False,6,DSL,43.84166666666667,False,False,True,False,False,No phone service,44.4,2235-DWLJU,DSL1Month-to-month,No,Yes,0.8373773201414365
True,False,Electronic check,Female,False,70.1,0,Yes,Month-to-month,False,1,Fiber optic,70.1,False,False,False,False,False,No,70.1,0328-GRPMV,Fiber optic0Month-to-month,Yes,Yes,0.9038553772595626
False,False,Mailed check,Male,False,255.25,0,No,Month-to-month,False,10,DSL,25.525,False,False,False,False,True,No phone service,29.5,5016-ETTFF,DSL0Month-to-month,Yes,Yes,0.588215114601121
False,True,Electronic check,Male,False,3653.0,1,Yes,Month-to-month,False,38,Fiber optic,96.13157894736842,False,False,True,False,False,Yes,94.75,5144-TVGLP,Fiber optic1Month-to-month,No,Yes,0.7483155320722795
True,True,Electronic check,Female,False,966.55,0,Yes,Month-to-month,True,12,Fiber optic,80.54583333333333,False,False,False,False,False,Yes,84.05,8800-JOOCF,Fiber optic0Month-to-month,No,Yes,0.8340311803030366
False,False,Mailed check,Male,False,100.2,0,No,Month-to-month,False,5,DSL,20.04,False,False,False,False,False,No phone service,24.3,6180-YBIQI,DSL0Month-to-month,No,Yes,0.5828884599237658
True,False,Electronic check,Female,False,1993.25,0,Yes,Month-to-month,False,29,Fiber optic,68.73275862068965,False,False,False,False,False,Yes,74.2,3002-WQZWT,Fiber optic0Month-to-month,No,Yes,0.7267958147665042
True,False,Bank transfer (automatic),Female,False,552.95,0,Yes,Month-to-month,False,7,Fiber optic,78.99285714285715,False,False,False,False,False,Yes,75.1,7912-SYRQT,Fiber optic0Month-to-month,Yes,Yes,0.8248263066022782
True,True,Electronic check,Male,True,6281.45,0,Yes,Month-to-month,False,61,Fiber optic,102.97459016393442,False,False,True,True,True,Yes,105.55,4446-BZKHU,Fiber optic0Month-to-month,Yes,Yes,0.7016700844407594
True,False,Mailed check,Female,False,105.6,0,Yes,Month-to-month,False,2,DSL,52.8,False,False,False,False,False,No,45.85,5365-LLFYV,DSL0Month-to-month,No,Yes,0.5738086284868886
True,False,Credit card (automatic),Female,False,349.65,1,Yes,Month-to-month,False,5,Fiber optic,69.92999999999999,False,False,False,False,True,No,75.55,0506-LVNGN,Fiber optic1Month-to-month,Yes,Yes,0.8427984304085849
True,True,Electronic check,Male,False,95.1,1,Yes,Month-to-month,False,1,Fiber optic,95.1,False,False,True,True,False,Yes,95.1,5178-LMXOP,Fiber optic1Month-to-month,Yes,Yes,0.9699952286151119
True,False,Bank transfer (automatic),Male,True,6382.0,1,Yes,Month-to-month,False,69,Fiber optic,92.4927536231884,False,False,True,True,True,Yes,95.35,8755-IWJHN,Fiber optic1Month-to-month,No,Yes,0.651253000250483
True,False,Mailed check,Female,False,178.7,0,Yes,Month-to-month,False,2,Fiber optic,89.35,False,False,True,False,True,No,86.2,6275-YDUVO,Fiber optic0Month-to-month,Yes,Yes,0.8807021419991135
True,False,Electronic check,Male,False,92.25,0,No,Month-to-month,False,3,DSL,30.75,False,True,False,True,False,No phone service,29.9,9572-WUKSB,DSL0Month-to-month,No,Yes,0.8059449282059291
True,True,Electronic check,Female,False,1743.5,0,Yes,Month-to-month,True,17,Fiber optic,102.55882352941177,True,False,True,True,True,Yes,104.2,9874-QLCLH,Fiber optic0Month-to-month,Yes,Yes,0.8590773413865562
True,False,Bank transfer (automatic),Female,False,115.95,1,Yes,Month-to-month,False,2,Fiber optic,57.975,False,False,False,False,False,No,70.2,2260-USTRB,Fiber optic1Month-to-month,Yes,Yes,0.7601122899124748
True,True,Electronic check,Female,False,164.5,0,Yes,Month-to-month,False,2,Fiber optic,82.25,False,False,False,False,False,No,79.75,1981-INRFU,Fiber optic0Month-to-month,Yes,Yes,0.9414405775647766
True,True,Electronic check,Female,True,4889.2,0,Yes,Month-to-month,True,49,Fiber optic,99.7795918367347,False,False,True,True,False,Yes,98.35,3545-CNWRG,Fiber optic0Month-to-month,No,Yes,0.7351376239539336
True,False,Credit card (automatic),Male,True,3691.2,0,Yes,Month-to-month,False,38,Fiber optic,97.13684210526316,False,False,True,False,True,Yes,95.1,6075-SLNIL,Fiber optic0Month-to-month,No,Yes,0.5915521948920633
True,False,Electronic check,Male,True,494.95,0,Yes,Month-to-month,False,6,Fiber optic,82.49166666666666,True,False,False,False,False,No,78.95,5760-FXFVO,Fiber optic0Month-to-month,No,Yes,0.7454087661752279
True,False,Electronic check,Female,False,405.7,0,Yes,Month-to-month,False,9,DSL,45.077777777777776,False,False,False,False,False,No,43.75,4570-QHXHL,DSL0Month-to-month,No,Yes,0.5580356859937491
True,False,Credit card (automatic),Male,True,600.0,0,No,Month-to-month,False,18,DSL,33.333333333333336,False,False,False,False,True,No phone service,33.5,2011-TRQYE,DSL0Month-to-month,Yes,Yes,0.5180051989285942
True,False,Electronic check,Female,True,2093.4,0,Yes,Month-to-month,False,27,Fiber optic,77.53333333333333,False,False,False,True,False,No,76.1,2523-EWWZL,Fiber optic0Month-to-month,No,Yes,0.6863532916815055
True,True,Electronic check,Female,False,1203.9,0,Yes,Month-to-month,True,14,Fiber optic,85.99285714285715,False,False,False,True,False,Yes,84.8,9314-IJWSQ,Fiber optic0Month-to-month,No,Yes,0.8373890179371637
